"","Party","Vote 1","Seat 1","Vote 2","Seat 2","Vote.Sum","Seat.Sum"
"1","새누리당",9130651,25,10000,2,9140651,27
"2","민주통합당",7777123,22,10000,2,7787123,24
"3","자유선진당",690754,1,10000,2,700754,3
"4","통합진보당",2198405,6,10000,2,2208405,8
"5","창조한국당",91935,0,10000,2,101935,2
"6","국민생각",156241,0,10000,2,166241,2
"7","가자!대국민중심당",60428,0,10000,2,70428,2
"8","친박연합",134898,0,10000,2,144898,2
"9","국민행복당",35846,0,10000,2,45846,2
"10","기독자유민주당",257190,0,10000,2,267190,2
"11","녹색당",103842,0,10000,1,113842,1
"12","대한국당",14133,0,10000,1,24133,1
"13","미래연합",19962,0,10000,1,29962,1
"14","불교연합당",36262,0,10000,1,46262,1
"15","정통민주당",48648,0,10000,1,58648,1
"16","진보신당",243065,0,10000,1,253065,1
"17","청년당",73194,0,10000,1,83194,1
"18","한국기독당",54332,0,10000,1,64332,1
"19","한국문화예술당",23330,0,10000,1,33330,1
"20","한나라당",181822,0,10000,1,191822,1
